ID,Label
001,Albania
002,Andorra
003,Austria
004,Belarus
005,Belgium
006,Bosnia and Herzegovina
007,Bulgaria
008,Croatia
044,Cyprus
009,Czech Republic
010,Denmark
011,Estonia
012,Finland
013,France
014,Germany
015,Greece
016,Hungary
017,Iceland
018,Ireland
019,Italy
047,Kosovo
020,Latvia
021,Liechtenstein
022,Lithuania
023,Luxembourg
024,Macedonia
025,Malta
026,Moldova
027,Monaco
028,Montenegro
029,Netherlands
030,Norway
031,Poland
032,Portugal
033,Romania
046,Russia
034,San Marino
035,Serbia
036,Slovakia
037,Slovenia
038,Spain
039,Sweden
040,Switzerland
045,Turkey
041,Ukraine
042,England
043,Vatican City
