ID,Label
1,Antigua and Barbuda
2,Bahamas
3,Barbados
4,Belize
5,Canada
6,Costa Rica
7,Cuba
8,Dominica
9,Dominican Republic
10,El Salvador
11,Grenada
12,Guatemala
13,Haiti
14,Honduras
15,Jamaica
16,Mexico
17,Nicaragua
18,Panama
19,St. Kitts & Nevis
20,St. Lucia
21,St. Vincent & the Grenadines
22,Trinidad & Tobago
23,United States
24,Greenland
25,Argentina
26,Bolivia
27,Brazil
28,Chile
29,Colombia
30,Ecuador
31,Falkland Islands
32,French Guiana
33,Guyana
34,Paraguay
35,Peru
36,Suriname
37,Uruguay
38,Venezuela
39,Algeria
40,Angola
41,Benin
42,Botswana
43,Burkina Faso
44,Burundi
45,Cameroon
46,Cape Verde
47,Central African Republic
48,Chad
49,Comoros
50,Ivory Coast
51,DR Congo
52,Djibouti
53,Egypt
54,Equatorial Guinea
55,Eritrea
56,Ethiopia
57,Gabon
58,Ghana
59,Guinea
60,Guinea-Bissau
61,Kenya
62,Lesotho
63,Liberia
64,Libya
65,Madagascar
66,Malawi
67,Mali
68,Mauritania
69,Morocco
70,Mozambique
71,Namibia
72,Niger
73,Nigeria
74,Rwanda
75,Sao Tome and Principe
76,Senegal
77,Seychelles
78,Sierra Leone
79,Somalia
80,South Africa
81,Republic of Sudan
82,Swaziland
83,Tanzania
84,Togo
85,Tunisia
86,Uganda
87,Western Sahara
88,Zambia
89,Zimbabwe
90,Gambia
91,Congo
92,Mauritius
93,Afghanistan
94,Armenia
95,Azerbaijan
96,Bangladesh
97,Bhutan
98,Brunei
99,Burma (Myanmar)
100,Cambodia
101,China
102,Timor-Leste
103,Georgia
104,India
105,Indonesia
106,Iran
107,Japan
108,Kazakhstan
109,Korea (north)
110,Korea (south)
111,Kyrgyzstan
112,Laos
113,Malaysia
114,Mongolia
115,Nepal
116,Pakistan
117,Philippines
118,Russia
119,Singapore
120,Sri Lanka
121,Tajikistan
122,Thailand
123,Turkmenistan
124,Uzbekistan
125,Vietnam
126,Taiwan
127,Hong Kong
128,Macau
129,Albania
130,Andorra
131,Austria
132,Belarus
133,Belgium
134,Bosnia and Herzegovina
135,Bulgaria
136,Croatia
137,Czech Republic
138,Denmark
139,Estonia
140,Finland
141,France
142,Germany
143,Greece
144,Hungary
145,Iceland
146,Ireland
147,Italy
148,Latvia
149,Liechtenstein
150,Lithuania
151,Luxembourg
152,Macedonia
153,Malta
154,Moldova
155,Monaco
156,Montenegro
157,Netherlands
158,Norway
159,Poland
160,Portugal
161,Romania
162,San Marino
163,Serbia
164,Slovakia
165,Slovenia
166,Spain
167,Sweden
168,Switzerland
169,Ukraine
170,United Kingdom
171,Vatican City
172,Cyprus
173,Turkey
175,Australia
176,Fiji
177,Kiribati
178,Marshall Islands
179,Micronesia
180,Nauru
181,New Zealand
182,Republic of Palau
183,Papua New Guinea
184,Samoa
185,Solomon Islands
186,Tonga
187,Tuvalu
188,Vanuatu
189,New Caledonia
190,Bahrain
191,Iraq
192,Israel
193,Jordan
194,Kuwait
195,Lebanon
196,Oman
197,Qatar
198,Saudi Arabia
199,Syria
200,UnitedArabEmirates
201,Yemen
202,Puerto Rico
203,Cayman Islands
204,South Sudan
205,Kosovo
206,Aruba
207,Anguilla
208,American Samoa
209,Bermuda
210,BES Islands
211,Cocos (Keeling) Islands
212,Cook Islands
213,Christmas Island
214,Curacao
215,Faroe Islands
216,French Polynesia
217,Gibraltar
218,Guam
219,Guadeloupe
220,Gaza Strip
221,Guernsey
222,Isle of Man
223,Jersey
224,Kingman Reef
225,Maldives
226,Montserrat
227,Mayotte
228,Martinique
229,Norfolk Island
230,Northern Mariana Islands
231,Niue
232,Pitcairn Islands
233,La Réunion
234,Sint Maarten
235,Saint Helena
236,Saint Pierre and Miquelon
237,Turks and Caicos Islands
238,Virgin Islands (UK)
239,Virgin Islands (US)
240,Palestine
241,Wallis and Futuna
242,Cape Town
243,La Paz
244,Abkhazia
245,Netherlands Antilles
246,Northern Cyprus
247,Svalbard
248,Tokelau
